Company ID;Type;MRR;Date of subscription;Expires on;Payment method;list_date_of_subscription_month
206;renewal up;81;12/21/2016;1/13/2018;yearly;12.2016
202;upgrade;80;2/14/2016;11/13/2017;monthly;02.2016
246;new;80;1/1/2016;2/18/2017;monthly;01.2016
1653;new;79;11/14/2016;2/24/2017;monthly;11.2016
781;upgrade;75;11/27/2016;5/29/2017;yearly;11.2016
729;upgrade;75;11/4/2016;5/31/2017;yearly;11.2016
137;upgrade;75;9/1/2016;8/14/2017;yearly;09.2016
413;new;74;9/21/2016;10/14/2017;yearly;09.2016
781;new;74;5/25/2016;5/29/2017;yearly;05.2016
567;new;74;3/1/2016;4/14/2017;yearly;03.2016
401;new;74;2/10/2016;2/7/2017;yearly;02.2016
458;new;74;2/9/2016;2/28/2017;yearly;02.2016
243;upgrade;70;3/1/2016;12/31/2017;yearly;03.2016
377;upgrade;67;3/1/2016;1/14/2018;yearly;03.2016
109;upgrade;63;12/26/2016;2/26/2017;monthly;12.2016
737;upgrade;60;8/1/2016;5/16/2017;yearly;08.2016
377;upgrade;60;5/1/2016;1/14/2018;yearly;05.2016
787;new;59;5/10/2016;12/24/2016;monthly;05.2016
389;new;59;1/1/2016;3/14/2017;monthly;01.2016
265;churn;59;12/27/2015;12/15/2016;monthly;12.2015
270;new;59;12/1/2015;3/8/2017;monthly;12.2015
265;new;59;11/27/2015;12/15/2016;monthly;11.2015
279;new;59;11/26/2015;4/24/2016;monthly;11.2015
389;upgrade;50;3/14/2016;3/14/2017;monthly;03.2016
206;renewal up;32;7/12/2016;1/13/2018;yearly;07.2016
137;upgrade;17;4/4/2016;8/14/2017;yearly;04.2016
1319;downgrade;-1;1/15/2017;3/15/2017;monthly;01.2017
202;change to yearly;-38;11/1/2016;11/13/2017;yearly;11.2016
787;churn;-59;12/25/2016;12/24/2016;monthly;12.2016
279;churn;-59;4/26/2016;4/24/2016;monthly;04.2016
243;renewal down;-70;1/2/2017;12/31/2017;yearly;01.2017
1685;downgrade;-87;12/11/2016;3/11/2017;monthly;12.2016
819;churn;-99;12/9/2016;11/23/2016;monthly;12.2016
571;churn;-99;11/15/2016;11/14/2016;monthly;11.2016
269;churn;-159;4/15/2016;4/14/2016;monthly;04.2016
2063;change to yearly;-170;1/14/2017;1/12/2018;monthly;01.2017
1329;renewal down;-210;12/20/2016;12/31/2017;yearly;12.2016
551;change to yearly;-1.449;1/12/2017;1/11/2018;monthly;01.2017
;;;;;;01.2015
;;;;;;01.2016
;;;;;;02.2015
;;;;;;02.2016
;;;;;;03.2015
;;;;;;03.2016
;;;;;;04.2015
;;;;;;04.2016
;;;;;;05.2015
;;;;;;06.2015
;;;;;;06.2016
;;;;;;07.2015
;;;;;;07.2016
;;;;;;08.2014
;;;;;;08.2015
;;;;;;09.2014
;;;;;;09.2015
;;;;;;09.2016
;;;;;;10.2014
;;;;;;10.2015
;;;;;;11.2014
;;;;;;11.2015
;;;;;;12.2014
;;;;;;12.2015
